ievnt channel counts aquisition_time rate
0 1 124 60 2.066667
0 2 138 60 2.300000
1 1 154 60 2.566667
1 2 168 60 2.800000
2 1 156 60 2.600000
2 2 172 60 2.866667
3 1 151 60 2.516667
3 2 166 60 2.766667
4 1 164 60 2.733333
4 2 175 60 2.916667
5 1 160 60 2.666667
5 2 176 60 2.933333
6 1 152 60 2.533333
6 2 170 60 2.833333
7 1 167 60 2.783333
7 2 188 60 3.133333
8 1 158 60 2.633333
8 2 179 60 2.983333
9 1 172 60 2.866667
9 2 186 60 3.100000
10 1 169 60 2.816667
10 2 181 60 3.016667
11 1 158 60 2.633333
11 2 175 60 2.916667
12 1 157 60 2.616667
12 2 167 60 2.783333
13 1 159 60 2.650000
13 2 179 60 2.983333
14 1 151 60 2.516667
14 2 163 60 2.716667
15 1 145 60 2.416667
15 2 162 60 2.700000
16 1 159 60 2.650000
16 2 174 60 2.900000
17 1 131 60 2.183333
17 2 145 60 2.416667
